,n_clusters,inertia,inertia_log
0,1,420982056.0450036,19.85810076851741
1,2,121486286.23148732,18.615311943851783
2,3,60953883.24142348,17.92562812378039
3,4,51512587.471482955,17.757336752691014
4,5,32043778.444972772,17.28261360220551
5,6,22607685.53740363,16.933800474459197
6,7,17333737.37558308,16.668165297735708
7,8,12050170.249379195,16.304589346380318
8,9,11833170.283216685,16.286417186799508
9,10,10916790.3255307,16.205812558842798
10,11,9646606.554131586,16.08211675904936
11,12,7607661.395470743,15.84466637583821
12,13,6646171.629512925,15.709551552046065
13,14,5566278.545697856,15.532237263958432
14,15,5036092.466679349,15.432141035113505
15,16,4201543.608673527,15.250962541607155
16,17,3812237.2200910463,15.153726771644548
17,18,3483972.4136863877,15.06368369892272
18,19,3108589.972056112,14.949679796154314
19,20,2995019.5089235753,14.912461303341383
20,21,2611850.9270479344,14.775569695409777
21,22,2359934.759913396,14.674144532515195
22,23,2042643.9387872713,14.529755575099744
23,24,1888912.514478683,14.451511832271235
24,25,1700290.0603302117,14.346309418195526
25,26,1524030.691399406,14.236869153739468
26,27,1394022.1224469242,14.147703739937748
27,28,1310102.8081908787,14.085616171633
28,29,1177474.017135273,13.978882038502093
29,30,1109755.031109072,13.91964985623777
30,31,1058467.0793778745,13.872332267871585
31,32,935821.97784949,13.749180542765195
32,33,816381.1923103933,13.612636672306056
33,34,721632.9605183623,13.489271923680684
34,35,651141.1866607199,13.386481774267345
35,36,619484.3477524702,13.336642713795857
36,37,582229.5548448974,13.27462007308095
37,38,552431.9143440953,13.222085472823975
38,39,499493.3664925304,13.121349596687327
39,40,468237.00492047804,13.056729867482314
40,41,417888.7330597539,12.942970487220089
41,42,396296.9093929549,12.889918980492943
42,43,371471.65779919614,12.825227848975778
43,44,325908.47884905845,12.694371881207257
44,45,300570.05068400764,12.613436119547707
45,46,272547.45036006323,12.515568007688309
46,47,241141.99891485635,12.39314124607402
47,48,227681.36550874283,12.335702410796658
48,49,215022.79597765527,12.278499329292297
49,50,205261.4844718429,12.232039979327128
50,51,189500.56074702548,12.152147262587446
51,52,183399.17806871398,12.119420357162584
52,53,173594.7738088832,12.06447897596769
53,54,156346.0690469784,11.959827220561468
54,55,143425.53680548433,11.873571272223984
55,56,132419.7687265351,11.793732221962701
56,57,122751.68255477383,11.717918752730025
57,58,118169.29133204387,11.679873547594209
58,59,110540.51888880298,11.613137419503277
59,60,105799.14006784228,11.569297670470112
60,61,99343.2461449893,11.506336265246334
61,62,92099.21713687951,11.430621722064812
62,63,85523.20455630143,11.356543016422306
63,64,80457.57403020453,11.295485293796482
64,65,75773.26032556691,11.235500743240376
65,66,69767.29241313,11.152920588858057
66,67,64170.532004844936,11.069299381264113
67,68,61155.71919552907,11.021178664060457
68,69,57766.487026678995,10.96416407727909
69,70,55954.450596918956,10.932293256544625
70,71,52861.802131840224,10.87543628012047
71,72,48426.12661951264,10.78779475325005
72,73,44046.32297736392,10.692997154040553
73,74,42012.246971832676,10.645716449327518
74,75,38631.81700198448,10.561831490587936
75,76,36363.94136873248,10.501332940896715
76,77,32801.201266840195,10.398220417690624
77,78,29686.92597863538,10.298462025133572
78,79,28273.818000696287,10.24969149642162
79,80,25883.219797516645,10.161350153454157
80,81,24747.55913521679,10.116482142334164
81,82,23726.25604205813,10.074337563786276
82,83,22639.56717742931,10.027454414529663
83,84,21012.11024216155,9.952854228688755
84,85,20405.253187680373,9.923547655882523
85,86,19665.433703380106,9.886617739205986
86,87,18765.586452372023,9.839779963538648
87,88,17849.151002921782,9.789711223215111
88,89,16986.650639020765,9.740183058034756
89,90,15878.620146587435,9.672728838493475
90,91,14390.595436124055,9.574330177491232
91,92,13750.244531570093,9.52881188705077
92,93,12599.00800430551,9.441373360023192
93,94,12004.094730316036,9.3930030980916
94,95,11600.849461029282,9.358833603812391
95,96,11157.028281989978,9.319824917499886
96,97,10157.235154520651,9.225941553637695
97,98,9492.43203056005,9.15825013174954
98,99,9036.642989179307,9.109043033663955
99,100,8533.544467163269,9.051760083739156
